id,description,family,protocol,N,seed,metric_name,value_display,units,source_path,selector
P1-C2-SET2-OXIDE-N100-STD_TEST_MAE_EV_PER_ATOM,sample_sd,oxide,protocol_2,100,,std_test_mae_eV_per_atom,0.00200,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N100-TRANSFER_GAIN_VS_ZERO_SHOT,difference,oxide,protocol_2,100,,transfer_gain_vs_zero_shot,-0.00383,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N1000-MEAN_BEST_EPOCH,mean,oxide,protocol_2,1000,,mean_best_epoch,28.4,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N1000-MEAN_TEST_MAE_EV_PER_ATOM,mean,oxide,protocol_2,1000,,mean_test_mae_eV_per_atom,0.03549,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N1000-SEED0-MAE,seed_value,oxide,protocol_2,1000,0,test_mae,0.03524,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide"",""seed"":""0""}}"
P1-C2-SET2-OXIDE-N1000-SEED1-MAE,seed_value,oxide,protocol_2,1000,1,test_mae,0.03551,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide"",""seed"":""1""}}"
P1-C2-SET2-OXIDE-N1000-SEED2-MAE,seed_value,oxide,protocol_2,1000,2,test_mae,0.03554,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide"",""seed"":""2""}}"
P1-C2-SET2-OXIDE-N1000-SEED3-MAE,seed_value,oxide,protocol_2,1000,3,test_mae,0.03554,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide"",""seed"":""3""}}"
P1-C2-SET2-OXIDE-N1000-SEED4-MAE,seed_value,oxide,protocol_2,1000,4,test_mae,0.03560,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide"",""seed"":""4""}}"
P1-C2-SET2-OXIDE-N1000-STD_TEST_MAE_EV_PER_ATOM,sample_sd,oxide,protocol_2,1000,,std_test_mae_eV_per_atom,0.00014,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N1000-TRANSFER_GAIN_VS_ZERO_SHOT,difference,oxide,protocol_2,1000,,transfer_gain_vs_zero_shot,-0.00130,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""1000"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N200-MEAN_BEST_EPOCH,mean,oxide,protocol_2,200,,mean_best_epoch,50.2,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N200-MEAN_TEST_MAE_EV_PER_ATOM,mean,oxide,protocol_2,200,,mean_test_mae_eV_per_atom,0.03667,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""oxide""}}"
P1-C2-SET2-OXIDE-N200-SEED0-MAE,seed_value,oxide,protocol_2,200,0,test_mae,0.03642,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""200"",""family"":""oxide"",""seed"":""0""}}"
