dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,oxide,0.98373764600179703,0.97928908355795152,0.9879177897574124,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,nitride,0.79807162534435261,0.76362947658402203,0.82975206611570251,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99733242743534345,0.99558917711790773,0.99875538805105701,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,44,0.85979142526071839
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,overall_family_labels,0.20453496327985368,0.19628593986691462,0.21236106313595837,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,oxide,0.20037057473922232,0.19093531437650005,0.20997286015025346,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,nitride,0.22909108909589054,0.21319557290496088,0.2445174348742222,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6384813638961719,1.5474755541710419,1.721511100565946,0.94999999999999996,stratified_bootstrap_recomputed_index,False,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.96552826043539042,0.95973636908328352,0.97096464949071304,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,oxide,0.98635832749357621,0.98233940668068198,0.99023709413688388,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,44,0.8550029958058718
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,nitride,0.84269972451790631,0.81017906336088152,0.87273415977961444,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,1669,1427,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",pure_oxide_filtered,44,0.8550029958058718
